Bear,Sex,Age, Date ,General locationa,Capture type,Release Site,Handler,Year
1050,Male,Adult,4/25/22,"Greybull River, PR-WY",Management,Removed (202203),WGFD,2022
1059,Male,Adult,5/4/22,"South Fork Shoshone, PR-WY",Management,Transported,WGFD,2022
1060,Male,Adult,5/21/22,"Beam Gulch, SNF",Research,On site,WGFD,2022
1061,Male,Adult,5/21/22,"Gravelbar crk, SNF",Research,On site,WGFD,2022
1061,Male,Adult,5/29/22,"Gravelbar crk, SNF",Research,On site,WGFD,2022
989,Female,Adult,5/21/22,"Crow crk, CTNF",Management,Removed (202205),IDFG,2022
Unm202201,Male,Yearling,5/21/22,"Crow crk, CTNF",Management,Removed (202206),,2022
1062,Female,Adult,5/22/22,"Sunlight crk, SNF",Research,On site,WGFD,2022
516,Male,Adult,5/24/22,"Beam Gulch, SNF",Research,On site,WGFD,2022
998,Female,Adult,5/25/22,"Crow crk, CTNF",Management,Removed (202209),IDFG,2022
Unm202202,Female,Yearling,5/24/22,"Crow crk, CTNF",Management,Removed (202210),IDFG,2022
Unm202203,Male,Yearling,5/24/22,"Crow crk, CTNF",Management,Removed (202211),IDFG,2022
994,Male,Adult,5/26/22,"Snake River, GTNP",Research,On site,IGBST,2022
G275,Male,Subadult,5/27/22,"Ghost crk, SNF",Research,On site,WGFD,2022
G275,Male,Subadult,5/30/22,"Ghost crk, SNF",Research,On site,WGFD,2022
G276,Male,Adult,5/28/22,"Sunlight crk, SNF",Research,On site,WGFD,2022
1063,Female,Subadult,5/29/22,"Pilgrim crk, GTNP",Research,On site,IGBST,2022
1063,Female,Subadult,6/6/22,"Snake River, GTNP",Research,On site,IGBST,2022
1064,Female,Subadult,6/3/22,"Pacific crk, GTNP",Research,On site,IGBST,2022
1065,Female,Subadult,6/9/22,"Deadman crk, SNF",Research,On site,WGFD,2022
1019,Male,Adult,6/17/22,"Snake River, GTNP",Research,On site,IGBST,2022
1066,Male,Adult,6/20/22,"Lizard crk, GTNP",Research,On site,IGBST,2022
Unm202204,Female,Subadult,6/21/22,"Beartooth crk, SNF",Management,Removed (202224),IGBST,2022
794,Male,Adult,6/22/22,"Pilgrim crk, GTNP",Research,On site,IGBST,2022
Unm202205,Male,Adult,6/24/22,"Sheep crk, PR-WY",Management,Removed (202225),WGFD,2022
940,Male,Adult,6/27/22,"Henrys Fork, CTNF",Research,On site,IDFG,2022
1067,Male,Adult,7/6/22,"Howard crk, CTNF",Research,On site,IDFG,2022
1067,Male,Adult,7/27/22,"East Dry crk, CTNF",Research,On site,IDFG,2022
1068,Male,Subadult,7/8/22,"Wagon crk, BTNF",Management,Transported,WGFD,2022
G277,Male,Subadult,7/9/22,"Henrys Fork, CTNF",Research,On site,IDFG,2022
G277,Male,Subadult,7/19/22,"Enget crk, CTNF",Research,On site,IDFG,2022
G277,Male,Subadult,8/24/22,"Enget crk, CTNF",Research,On site,IDFG,2022
1057,Male,Subadult,7/12/22,"Boulder crk, PR-WY",Management,Removed (202226),WGFD,2022
Unm202206,Male,Subadult,7/13/22,"Slab crk, PR-WY",Management,Removed (202227),WGFD,2022
1051,Male,Subadult,7/13/22,"Ingals crk, CTNF",Research,On site,IDFG,2022
1051,Male,Subadult,8/25/22,"Ingals crk, CTNF",Research,On site,IDFG,2022
1069,Male,Subadult,7/16/22,"East Fork Wind River, PR-WY",Management,Transported,WGFD,2022
1070,Female,Adult,7/16/22,"North Fork Fish crk, BTNF",Research,On site,WGFD,2022
1071,Female,Subadult,7/16/22,"Red crk, BTNF",Research,On site,WGFD,2022
419,Male,Adult,7/16/22,"Ingals crk, CTNF",Research,On site,IDFG,2022
1072,Female,Subadult,7/17/22,"Hereford crk, BTNF",Research,On site,WGFD,2022
Unm202207,Unkown,Yearling,7/16/22,"East Dry crk, CTNF",Research,On site,IDFG,2022
Unm202208,Unkown,Yearling,7/18/22,"Henrys Fork, CTNF",Research,On site,IDFG,2022
938,Male,Adult,7/19/22,"Ingals crk, CTNF",Research,On site,IDFG,2022
1073,Female,Subadult,7/20/22,"Deadman crk, PR-MT",Research,On site,IGBST,2022
1073,F emale,Subadult,8/3/22,"Deadman crk, PR-MT",Research,On site,IGBST,2022
1074,Male,Subadult,7/21/22,"Papoose crk, BTNF",Research,On site,WGFD,2022
1075,Male,Adult,7/22/22,"North Fork Fish crk, BTNF",Research,On site,WGFD,2022
1038,Female,Subadult,7/24/22,"East Fork Cream crk, CGNF",Research,On site,IGBST,2022
1038,Female,Subadult,7/29/22,"Enget crk, CTNF",Research,On site,IDFG,2022
1038,Female,Subadult,8/22/22,"East Fork Cream crk, CGNF",Research,On site,IGBST,2022
1076,F emale,Adult,7/24/22,"Cottonwood crk, BTNF",Research,On site,WGFD,2022
Unm202209,Female,Adult,7/27/22,"curry crk, PR-WY",Management,On site,WGFD,2022
373,Male,Adult,7/30/22,"Ingals crk, CTNF",Research,On site,IDFG,2022
1077,Male,Subadult,7/31/22,"curry crk, PR-WY",Management,Transported,WGFD,2022
1078,Male,Adult,8/1/22,"South Fork Fish crk, BTNF",Management,Transported,WGFD,2022
Unm202210,Male,Subadult,8/1/22,"Slab crk, PR-WY",Management,Removed (202228),WGFD,2022
1079,Male,Subadult,8/7/22,"Howard crk, CTNF",Research,On site,IDFG,2022
942,Female,Adult,8/7/22,"East Dry crk, CTNF",Research,On site,IDFG,2022
1080,Male,Adult,8/10/22,"Tepee crk, CGNF",Research,On site,IGBST,2022
856,Male,Adult,8/14/22,"Rock crk, CTNF",Research,On site,IDFG,2022
1082,Female,Subadult,8/16/22,"Ingals crk, CTNF",Research,On site,IDFG,2022
1082,Female,Subadult,8/20/22,"Ingals crk, CTNF",Research,On site,IDFG,2022
1081,Female,Subadult,8/18/22,"Yellowstone River, PR-MT",Management,Transported,MTFWP,2022
Unm202211,Unkown,Yearling,8/18/22,"Bear crk, CTNF",Research,On site,IDFG,2022
1083,Male,Subadult,8/20/22,"Enget crk, CTNF",Research,On site,IDFG,2022
Unm202212,Female,Subadult,8/20/22,"Tom Miner, ST-MT",Management,Removed (202229),WS/MTFWP,2022
1045,Male,Adult,8/21/22,"Rock crk, CTNF",Research,On site,IDFG,2022
1084,F emale,Adult,8/24/22,"Tepee crk, CGNF",Research,On site,IGBST,2022
1085,Male,Adult,8/26/22,"Stephens crk, YNP",Research,On site,IGBST,2022
699,Male,Adult,8/30/22,"Meadow crk, PR-WY",Management,Removed (202230),WGFD,2022
769,Male,Adult,8/31/22,"Stephens crk, YNP",Research,On site,IGBST,2022
1086,Female,Adult,9/2/22,"Tepee crk, BTNF",Management,On site,WGFD,2022
1087,Male,Adult,9/4/22,"Bridge crk, YNP",Research,On site,IGBST,2022
1087,Male,Adult,9/5/22,"Arnica crk, YNP",Research,On site,IGBST,2022
514,Male,Adult,9/10/22,"Pacific crk, BTNF",Management,Removed (202232),WGFD,2022
630,Male,Adult,9/15/22,"Cascade crk, YNP",Research,On site,IGBST,2022
630,Male,Adult,9/17/22,"Antelope crk, YNP",Research,On site,IGBST,2022
812,Male,Adult,9/17/22,"Antelope crk, YNP",Research,On site,IGBST,2022
520,Male,Adult,9/19/22,"Cascade crk, YNP",Research,On site,IGBST,2022
1088,Male,Adult,9/19/22,"Sharp crk, PR-MT",Management,Transported,MTFWP,2022
800,Female,Adult,9/20/22,"Yellowstone River, PR-MT",Management,Removed (202233),MTFWP,2022
Unm202213,Female,Cub,9/21/22,"Yellowstone River, PR-MT",Management,Removed (202234),MTFWP,2022
G190,F emale,Adult,9/27/22,"Greybull River, PR-WY",Management,Removed (202236),WGFD,2022
Unm202214,Male,Cub,9/27/22,"Greybull River, PR-WY",Management,Removed (202237),WGFD,2022
Unm202215,Male,Cub,9/27/22,"Greybull River, PR-WY",Management,Removed (202238),WGFD,2022
Unm202216,Male,Adult,10/5/22,"South Fork Shoshone, PR-WY",Management,Removed (202239),WGFD,2022
804,Male,Adult,10/6/22,"Antelope crk, YNP",Research,On site,IGBST,2022
Unm202217,Male,Adult,10/8/22,"Greybull River, PR-WY",Management,Removed (202240),WGFD,2022
314,Male,Adult,10/12/22,"Henrys Fork, CTNF",Research,On site,IDFG,2022
1089,Female,Adult,10/17/22,"Yellowstone River, PR-MT",Management,Transported,MTFWP,2022
1089,Female,Adult,11/9/22,Middle Leigh cre PR-ID,Management,Removed (202242),IDFG,2022
G279,Male,Subadult,10/17/22,"Yellowstone River, PR-MT",Management,Transported,MTFWP,2022
6279,Male,Subadult,11/9/22,Middle Leigh cre PR-ID,Management,Removed (202244),IDFG,2022
Unm202218,Male,Subadult,10/17/22,"Yellowstone River, PR-MT",Management,Transported,MTFWP,2022
Unm202218,Male,Subadult,11/10/22,Middle Leigh cre PR-ID,Management,Removed (202245),IDFG,2022
416,Female,Adult,10/20/22,"Gallatin River, PR-MT",Management,Removed (202241),MTFWP,2022
1090,Male,Cub,10/20/22,"Gallatin River, PR-MT",Management,Transported,MTFWP,2022
1091,Male,Cub,10/20/22,"Gallatin River, PR-MT",Management,Transported,MTFWP,2022
845,Male,Adult,12/5/22,"Greybull River, PR-WY",Management,Removed (202247),WGFD,2022
202101,Female,Yearling,4/6/21,"South Fork Shoshone River, PR WY",Management,Removed (202101),WGFD,2021
1020,Male,Adult,4/11/21,"Rawhide crk, PR-WY",Management,Transported,WGFD,2021
449,Male,Adult,4/17/21,"Madison River, CGNF",Management,Removed (202104),MTFWP,2021
1021,Male,Adult,4/26/21,"Rawhide crk, PR-WY",Management,Transported,WGFD,2021
202106,Female,Subadult,5/5/21,"Gooseberry crk, PR-WY",Management,Removed (202106),WGFD,2021
202107,Male,Subadult,5/5/21,"Gooseberry crk, PR-WY",Management,Removed (202107),WGFD,2021
1022,Male,Subadult,5/7/21,"Snake River, PR-WY",Management,Transported,WGFD,2021
1022,Male,Subadult,5/22/21,"Snake River, PR-WY",Management,Removed (202112),WGFD,2021
202108,Male,Adult,5/11/21,"Carbon County, PR-MT",Management,Removed (202108),WS/MTFWP,2021
639,Male,Adult,5/12/21,"Grace crk, SNF",Research,On site,WGFD,2021
Unm202105,Unk,Yearling,5/13/21,"Rock crk, ST-MT",Management,On site,WS/MTFWP,2021
1023,Male,Subadult,5/14/21,"Cougar crk, SNF",Research,On site,WGFD,2021
885,Male,Adult,5/31/21,"Belknap crk, PR-WY",Research,On site,WGFD,2021
1024,Male,Subadult,6/4/21,"Antelope crk, YNP",Research,On site,IGBST/YNP,2021
1024,Male,Subadult,6/6/21,"Antelope Crk, YNP",Research,On site,IGBST/YNP,2021
1024,Male,Subadult,6/26/21,"Cascade crk, YNP",Research,On site,IGBST/YNP,2021
1025,Female,Adult,6/5/21,"Timber crk, BLM-WY",Research,On site,WGFD,2021
202115,Male,Subadult,6/5/21,"Grinnell crk, SNF",Management,Removed (202115),WGFD,2021
887,Male,Adult,6/6/21,"Stephens crk, YNP",Research,On site,IGBST/YNP,2021
1026,Male,Adult,6/8/21,"Rock crk, SNF",Research,On site,WGFD,2021
1027,Female,Adult,6/9/21,"Belknap crk, PR-WY",Research,On site,WGFD,2021
749,Female,Adult,6/13/21,"Stephens crk, YNP",Research,On site,IGBST/YNP,2021
Unm202107,Unk,Subadult,6/13/21,"Gibbon River, YNP",Research,On site,IGBST/YNP,2021
1028,Male,Subadult,6/14/21,"Snake River, JDR",Management,Transported,GTNP,2021
1028,Male,Subadult,9/21/21,"Snake River, PR-WY",Management,Removed (202146),WGFD,2021
1029,Male,Subadult,6/15/21,"North Fork Shoshone, SNF",Management,Transported,WGFD,2021
981,Female,Subadult,6/16/21,"Gibbon River, YNP",Research,On site,IGBST/YNP,2021
Unm202108,Male,Adult,6/16/21,"Antelope crk, YNP",Research,On site,IGBST/YNP,2021
1030,Male,Subadult,6/21/21,"North Fork Shoshone, SNF",Management,Transported,WGFD,2021
1031,Female,Adult,6/27/21,"Jack crk, SNF",Research,On site,WGFD,2021
967,Male,Adult,6/27/21,"Haymaker Crk, SNF",Research,On site,WGFD,2021
1032,Female,Subadult,6/27/21,"Betty crk, SNF",Research,On site,WGFD,2021
980,Female,Adult,6/28/21,"Gibbon River, YNP",Research,On site,IGBST,2021
476,Female,Adult,6/28/21,"Boulder crk, SNF",Research,On site,WGFD,2021
635,Male,Adult,6/28/21,"Robinson Crk, SNF",Research,On site,WGFD,2021
1033,Male,Subadult,6/28/21,"Gentian crk, SNF",Research,On site,WGFD,2021
1034,Female,Adult,6/29/21,"Greybull River, SNF",Research,On site,WGFD,2021
1035,Female,Adult,6/29/21,"Francs Fork, SNF",Research,On site,WGFD,2021
1036,Male,Adult,6/29/21,"Anderson Crk, SNF",Research,On site,WGFD,2021
538,Male,Adult,6/29/21,"Dundee crk, SNF",Research,On site,WGFD,2021
881,Male,Adult,6/30/21,"Cascade crk, YNP",Research,On site,IGBST,2021
970,Male,Adult,6/30/21,"Cascade crk, YNP",Research,On site,IGBST,2021
1037,Male,Adult,7/2/21,"Henrys Fork, CTNF",Research,On site,IDFG,2021
800,Female,Adult,7/7/21,"Slip and Slide crk, CGNF",Research,On site,IGBST,2021
556,Male,Adult,7/7/21,"Henrys Fork, CTNF",Research,On site,IDFG,2021
1038,Female,Subadult,7/10/21,"Cream crk, CGNF",Research,On site,IGBST,2021
1038,Female,Subadult,8/24/21,"Jesse crk, CTNF",Research,On site,IDFG,2021
202119,Male,Adult,7/10/21,"Blaine crk, PR-WY",Management,Removed (202119),WGFD,2021
906,Female,Adult,7/10/21,"Jessie crk, CTNF",Research,On site,IDFG,2021
1039,Male,Subadult,7/12/21,"Tosi crk, BTNF",Management,Transported,WGFD,2021
1040,Male,Subadult,7/13/21,"Gypsum crk, BTNF",Management,Transported,WGFD,2021
1041,Female,Subadult,7/18/21,"Tosi crk, BTNF",Management,Transported,WGFD,2021
1041,Female,Subadult,8/25/21,"Tepee crk, BTNF",Management,Transported,WGFD,2021
902,Male,Adult,7/21/21,"Cottonwood crk, BDNF",Management,Removed (202122),WS/MTFWP,2021
886,Female,Adult,7/21/21,"Sulfur crk, PR-WY",Management,Transported,WGFD,2021
G272,Female,Subadult,7/21/21,"Sulfur crk, PR-WY",Management,Transported,WGFD,2021
1042,Female,Adult,7/22/21,"Duck crk, BLM-ID",Management,On site,WS/IDFG,2021
1043,Female,Subadult,7/23/21,"South Fork Fish crk, BTNF",Management,Transported,WGFD,2021
1043,Female,Subadult,10/10/21,"Greybull River, PR-WY",Management,Removed (202163),WGFD,2021
908,Male,Adult,7/24/21,"Cream crk, CGNF",Research,On site,IGBST,2021
202123,Male,Subadult,7/25/21,"Badger crk, PR-WY",Management,Removed (202123),WGFD,2021
706,Female,Adult,7/26/21,"Henrys Fork, CTNF",Research,On site,IDFG,2021
202124,Male,Subadult,7/28/21,"Greybull River, PR-WY",Management,Removed (202124),WGFD,2021
202125,Female,Subadult,7/28/21,"Greybull River, PR-WY",Management,Removed (202125),WGFD,2021
1044,Female,Adult,7/28/21,"Crow crk, WRIR",Research,On site,WGFD,2021
1045,Male,Subadult,7/29/21,"Wyoming crk, CTNF",Research,On site,IDFG,2021
1045,Male,Subadult,8/9/21,"Wyoming crk, CTNF",Research,On site,IDFG,2021
1045,Male,Subadult,8/17/21,"Wyoming crk, CTNF",Research,On site,IDFG,2021
202126,Male,Adult,7/30/21,"squaw crk, PR-WY",Management,Removed (202126),WGFD,2021
713,Male,Adult,7/30/21,"Bear crk, CTNF",Research,On site,IDFG,2021
1046,Female,Subadult,7/31/21,"Little Twin crk, BTNF",Management,Transported,WGFD,2021
946,Male,Adult,8/2/21,"Gros Ventre River, PR-WY",Management,Removed (202128),WGFD,2021
566,Male,Adult,8/3/21,"Icehouse crk, ST-ID",Management,Transported,IDFG,2021
782,Male,Adult,8/5/21,"Ingals crk, CTNF",Research,On site,IDFG,2021
898,Female,Adult,8/6/21,"camp crk, SNF",Management,Removed (202130),WGFD,2021
913,Female,Adult,8/7/21,"Wyoming crk, CTNF",Research,On site,IDFG,2021
913,Female,Adult,8/13/21,"Wyoming crk, CTNF",Research,On site,IDFG,2021
1047,Male,Adult,8/7/21,"Crow crk, WRIR",Research,On site,WGFD,2021
1048,Male,Subadult,8/7/21,"Gros Ventre River, PR-WY",Management,Transported,WGFD,2021
1048,Male,Subadult,8/28/21,"Snake River, PR-WY",Management,Removed (202140),WGFD,2021
1049,Female,Adult,8/8/21,"Red crk, WRIR",Research,On site,WGFD,2021
202131,Male,Adult,8/8/21,"Willow crk, PR-WY",Management,Removed (202131),WGFD,2021
912,Female,Adult,8/11/21,"Eldridge crk, CGNF",Research,On site,IGBST,2021
202132,Female,Adult,8/11/21,"Slab crk, PR-WY",Management,Removed (202132),WGFD,2021
531,Female,Adult,8/14/21,"Crow crk, WRIR",Research,On site,WGFD,2021
940,Male,Adult,8/14/21,"East Dry crk, CTNF",Research,On site,IDFG,2021
1050,Male,Adult,8/15/21,"Meadow crk, PR-WY",Management,Transported,WGFD,2021
890,Male,Adult,8/16/21,"Wagon crk, BTNF",Management,Removed,WGFD,2021
1012,Female,Subadult,8/17/21,"Bootjack crk, CTNF",Research,On site,IDFG,2021
202134,Female,Subadult,8/18/21,"Fox crk, BDNF",Management,Removed (202134),WS,2021
1051,Male,Subadult,8/19/21,"Ingals crk, CTNF",Research,On site,IDFG,2021
202135,Male,Subadult,8/20/21,"Warm spring crk, PR-WY",Management,Removed (202135),WGFD,2021
202136,Male,Subadult,8/20/21,"Warm spring crk, PR-WY",Management,Removed (202136),WGFD,2021
G269,Male,Subadult,8/21/21,"Upper Green, WY",Management,Removed (202137),WGFD,2021
424,Male,Adult,8/23/21,"Ingals crk, CTNF",Research,On site,IDFG,2021
424,Male,Adult,8/24/21,"Ingals crk, CTNF",Research,On site,IDFG,2021
424,Male,Adult,8/25/21,"Ingals crk, CTNF",Research,On site,IDFG,2021
951,Male,Adult,8/24/21,"South Fork Fish crk, BTNF",Management,Removed (202138),WGFD,2021
560,Female,Adult,8/25/21,"Trout crk, SNF",Management,Transported,WGFD,2021
G273,Female,cub,8/26/21,"Bear crk, PR-MT",Management,On site,WS/MTFWP,2021
202141,Male,Adult,9/1/21,"Meadow crk, PR-WY",Management,Removed (202141),WGFD,2021
974,Female,Adult,9/4/21,"Middle Fork owl crk, BLM-WY",Management,Removed (202143),WGFD,2021
864,Female,Adult,9/6/21,"Bridge crk, YNP",Research,On site,IGBST,2021
1052,Male,Adult,9/9/21,"Cascade crk, YNP",Research,On site,IGBST,2021
804,Male,Adult,9/9/21,"Cascade crk, YNP",Research,On site,IGBST,2021
1053,Male,Adult,9/11/21,"Gypsum crk, BTNF",Management,Transported,WGFD,2021
202145,Male,Adult,9/15/21,"Clarks Fork Yellowstone, PR-WY",Management,Removed (202145),WGFD,2021
G274,Male,Adult,9/15/21,"Arnica crk, YNP",Research,On site,IGBST,2021
953,Male,Adult,9/22/21,"Flat Mountain crk, YNP",Research,On site,IGBST,2021
202153,Female,Adult,9/27/21,"East Fork Wind River, SNF",Management,Removed (202153),WGFD,2021
1054,Female,Adult,10/2/21,"Jasper crk, YNP",Research,On site,IGBST,2021
1017,Female,Subadult,10/1/21,"Snake River, PR-WY",Management,Removed (202159),WGFD,2021
957,Female,Adult,10/5/21,"Carbon County, PR-MT",Management,Removed (202161),WS/MTFWP,2021
202162,Female,Subadult,10/5/21,"Carbon County, PR-MT",Management,Removed (202162),WS/MTFWP,2021
1055,Male,Adult,10/10/21,"Greybull River, PR-WY",Management,Transported,WGFD,2021
962,Female,Adult,10/16/21,"Snake River, GTNP",Management,Removed (202166),GTNP,2021
202167,Male,Adult,10/18/21,"Shoshone River, PR-WY",Management,Removed (202167),WGFD,2021
