Bear,Sex,Age,Offspring,Out of den,Into den,Current status,Column1,Year
281,Male,Adult,,Yes,No,Cast,,2003
295,Female,Adult,1 COY,Yes,Yes,Active,,2003
303,Female,Adult,1 2-year-old,Yes,No,Cast,,2003
305,Female,Adult,2 COY,Yes,Yes,Active,,2003
318,Male,Adult,,No,No,Cast,,2003
323,Male,Adult,,Yes,No,Cast,,2003
344,Male,Adult,,Yes,No,Cast,,2003
349,Female,Adult,None,No,Yes,Active,,2003
351,Female,Adult,Unknown,Yes,No,Probable battery failure,,2003
352,Male,Adult,,Yes,No,Probable battery failure,,2003
355,Male,Subadult,,Yes,No,Cast,,2003
356,Male,Adult,,Yes,Yes,Active,,2003
365,Female,Adult,Unknown,Yes,No,Probable battery failure,,2003
367,Female,Adult,None,Yes,Yes,Active,,2003
369,Male,Adult,,Yes,No,Probable battery failure,,2003
372,Male,Adult,,Yes,Yes,Active,,2003
373,Male,Subadult,,Yes,No,Cast,,2003
374,Male,Adult,,Yes,No,Cast,,2003
383,Female,Adult,2 COY,Yes,No,Probable battery failure,,2003
384,Female,Adult,1 Yearling,Yes,No,Probable battery failure,,2003
394,Male,Adult,,Yes,No,Cast,,2003
399,Female,Adult,None,Yes,Yes,Active,,2003
401,Male,Adult,,Yes,No,Cast,,2003
402,Female,Adult,None,Yes,Yes,Active,,2003
405,Male,Adult,,Yes,No,Cast,,2003
406,Male,Adult,,Yes,Yes,Active,,2003
407,Male,Subadult,,Yes,Yes,Active,,2003
408,Male,Subadult,,Yes,Yes,Active,,2003
410,Male,Adult,,Yes,No,Cast,,2003
412,Female,Adult,"2 coy, lost both",Yes,Yes,Active,,2003
413,Male,Subadult,,Yes,No,Cast,,2003
415,Male,Subadult,,Yes,Yes,Active,,2003
416,Female,Adult,None,Yes,No,Cast,,2003
417,Male,Adult,,Yes,No,Cast,,2003
418,Male,Adult,,Yes,No,Missing,,2003
419,Male,Subadult,,Yes,No,Probable battery failure,,2003
420,Male,Subadult,,Yes,No,Dead,,2003
421,Male,Subadult,,Yes,Yes,Active,,2003
422,Male,Subadult,,Yes,No,Dead,,2003
423,Female,Adult,None,Yes,Yes,Active,,2003
424,Male,Subadult,,Yes,No,Cast,,2003
425,Female,Adult,None,Yes,No,Cast,,2003
426,Male,Subadult,,Yes,No,Missing,,2003
427,Male,Subadult,,No,Yes,Active,,2003
428,Female,Subadult,,No,Yes,Active,,2003
429,Male,Adult,,No,Yes,Active,,2003
430,Male,Subadult,,No,Yes,Active,,2003
431,Male,Subadult,,No,Yes,Active,,2003
432,Male,Adult,,No,Yes,Active,,2003
433,Male,Adult,,No,Yes,Active,,2003
434,Male,Subadult,,No,Yes,Active,,2003
435,Male,Subadult,,No,No,Cast,,2003
436,Male,Subadult,,No,Yes,Active,,2003
437,Male,Adult,,No,Yes,Active,,2003
438,Male,Adult,,No,No,Cast,,2003
439,Female,Adult,2 COY,No,Yes,Active,,2003
440,Male,Adult,,No,Yes,Active,,2003
441,Male,Subadult,,No,Yes,Active,,2003
442,Male,Adult,,No,Yes,Active,,2003
443,Male,Adult,,No,Yes,Active,,2003
444,Male,Adult,,No,No,Cast,,2003
445,Male,Adult,,No,Yes,Active,,2003
446,Male,Adult,,No,No,Dead,,2003
447,Female,Adult,2 Yearlings,No,Yes,Active,,2003
448,Female,Subadult,,No,No,Cast,,2003
449,Male,Adult,,No,Yes,Active,,2003
450,Male,Adult,,No,Yes,Active,,2003
451,Male,Subadult,,No,Yes,Active,,2003
125,Female,Adult,2 COY,Yes,No,Cast,,2002
132,Female,Adult,3 COY,No,Yes,Active,,2002
166,Female,Adult,3 COY,Yes,No,Cast,,2002
179,Female,Adult,3 Yearlings,Yes,Yes,Active,,2002
188,Female,Adult,2 COY,No,Yes,Active,,2002
193,Female,Adult,"2 coy, lost 1",Yes,Yes,Active,,2002
196,Female,Adult,None,Yes,Yes,Active,,2002
211,Male,Adult,,No,Yes,Active,,2002
213,Female,Adult,None,Yes,Yes,Active,,2002
214,Female,Adult,None,No,Yes,Active,,2002
228,Male,Adult,,No,Yes,Active,,2002
260,Male,Adult,,No,Yes,Active,,2002
267,Female,Adult,2 Yearlings,Yes,Yes,Active,,2002
281,Male,Adult,,No,Yes,Active,,2002
295,Female,Adult,2 2-yearr-olds,Yes,Yes,Active,,2002
303,Female,Adult,1 Yearling,Yes,Yes,Active,,2002
304,Male,Adult,,No,No,Cast,,2002
305,Female,Adult,Unknown,Yes,Yes,Active,,2002
311,Female,Adult,None,Yes,No,Removed,,2002
323,Male,Adult,,No,Yes,Active,,2002
338,Male,Adult,,Yes,No,Cast,,2002
339,Male,Adult,,Yes,No,Missing,,2002
344,Male,Adult,,No,Yes,Active,,2002
346,Female,Adult,1 Yearling,Yes,No,Dead,,2002
349,Female,Adult,1 COY,Yes,No,Cast,,2002
350,Female,Subadult,,Yes,Yes,Active,,2002
351,Female,Adult,None,Yes,Yes,Active,,2002
352,Male,Adult,,Yes,Yes,Active,,2002
355,Male,Subadult,,Yes,Yes,Active,,2002
356,Male,Adult,,Yes,Yes,Active,,2002
359,Male,Adult,,Yes,No,Unresolved,,2002
360,Female,Adult,2 COY,Yes,No,Cast,,2002
365,Female,Adult,None,Yes,Yes,Active,,2002
367,Female,Adult,None,Yes,Yes,Active,,2002
369,Male,Adult,,Yes,No,Unresolvedb,,2002
370,Female,Adult,Unknown,Yes,No,Battery failure,,2002
372,Male,Adult,,Yes,Yes,Active,,2002
373,Male,Subadult,,Yes,Yes,Active,,2002
374,Male,Adult,,Yes,Yes,Active,,2002
379,Male,Subadult,,Yes,No,Cast,,2002
381,Male,Adult,,Yes,No,Unresolvedb,,2002
383,Female,Subadult,None,Yes,Yes,Active,,2002
384,Female,Adult,1 COY,Yes,Yes,Active,,2002
386,Female,Adult,3 Yearlings,Yes,No,Cast,,2002
387,Male,Adult,,Yes,No,Cast,,2002
388,Male,Adult,,Yes,No,Cast,,2002
390,Male,Adult,,Yes,No,Cast,,2002
392,Male,Subadult,,No,No,Unresolvedb,,2002
393,Male,Adult,,Yes,No,Unresolvedb,,2002
394,Male,Adult,,Yes,Yes,Active,,2002
395,Female,Subadult,,Yes,No,Cast,,2002
397,Male,Adult,,Yes,No,Cast,,2002
398,Male,Adult,,Yes,No,Cast,,2002
399,Female,Adult,None,Yes,Yes,Active,,2002
400,Male,Adult,,Yes,No,Cast,,2002
401,Male,Adult,,Yes,Yes,Active,,2002
402,Female,Adult,None,Yes,Yes,Active,,2002
403,Female,Adult,2 Yearlings,Yes,No,Dead,,2002
404,Male,Subadult,,No,No,Removed,,2002
405,Male,Adult,,No,Yes,Active,,2002
406,Male,Adult,,No,Yes,Active,,2002
407,Male,Subadult,,No,Yes,Active,,2002
408,Male,Subadult,,No,Yes,Active,,2002
409,Female,Subadult,,No,No,Cast,,2002
410,Male,Adult,,No,Yes,Active,,2002
411,Male,Adult,,No,Yes,Active,,2002
412,Female,Adult,None,No,Yes,Active,,2002
413,Male,Subadult,,No,Yes,Active,,2002
414,Male,Subadult,,No,No,Dead,,2002
415,Male,Subadult,,No,Yes,Active,,2002
416,Female,Adult,None,No,Yes,Active,,2002
417,Male,Adult,,No,Yes,Active,,2002
418,Male,Adult,,No,Yes,Active,,2002
419,Male,Subadult,,No,Yes,Active,,2002
420,Male,Subadult,,No,Yes,Active,,2002
421,Male,Subadult,,No,Yes,Active,,2002
422,Male,Subadult,,No,Yes,Active,,2002
423,Female,Adult,None,No,Yes,Active,,2002
424,Male,Subadult,,No,Yes,Active,,2002
425,Female,Adult,None,No,Yes,Active,,2002
426,Male,Subadult,,No,Yes,Active,,2002
125,Female,Adult,Unknown,Yes,Yes,Active,No,2001
135,Female,Adult,None,Yes,No,Removed,No,2001
166,Female,Adult,None,Yes,Yes,Active,No,2001
179,Female,Adult,3 COY,Yes,Yes,Active,No,2001
193,Female,Adult,None,No,Yes,Active,No,2001
196,Female,Adult,None,Yes,Yes,Active,No,2001
201,Male,Adult,,Yes,No,Unresolvedb,No,2001
211,Male,Adult,,Yes,No,Cast,No,2001
213,Female,Adult,2 Yearlings,Yes,Yes,Active,No,2001
267,Female,Adult,2 COY,Yes,Yes,Active,No,2001
270,Female,Adult,1 COY,Yes,Yes,Active,No,2001
281,Male,Adult,,Yes,No,Cast,No,2001
291,Male,Adult,,Yes,No,Cast,No,2001
292,Male,Adult,,Yes,No,Cast,No,2001
295,Female,Adult,2 Yearlings,Yes,Yes,Active,No,2001
303,Female,Adult,1 COY,Yes,Yes,Active,No,2001
305,Female,Subadult,None,Yes,Yes,Active,Yes,2001
308,Female,Adult,2 COY,Yes,Yes,Active,No,2001
311,Female,Adult,None,No,Yes,Active,No,2001
313,Male,Adult,,Yes,No,Cast,No,2001
320,Male,Adult,,No,Yes,Active,No,2001
321,Female,Adult,Unknown,Yes,Yes,Active,No,2001
325,Female,Adult,2 Yearlings,Yes,No,Removed,No,2001
327,Female,Adult,1 Yearling,Yes,No,Dead,Yes,2001
334,Female,Subadult,None,Yes,No,Cast,No,2001
338,Male,Adult,,Yes,Yes,Active,No,2001
339,Male,Adult,,Yes,Yes,Active,No,2001
340,Male,Adult,,Yes,No,Missing,No,2001
343,Male,Subadult,,Yes,No,Cast,No,2001
346,Female,Adult,"2 coy, lost 1",Yes,Yes,Active,No,2001
348,Male,Adult,,Yes,No,Unresolvedb,No,2001
349,Female,Adult,None,Yes,Yes,Active,No,2001
350,Female,Subadult,None,Yes,Yes,Active,No,2001
351,Female,Adult,1 COY,Yes,Yes,Active,No,2001
352,Male,Subadult,,Yes,Yes,Active,No,2001
354,Male,Adult,,Yes,No,Missing,No,2001
355,Male,Subadult,,Yes,Yes,Active,No,2001
356,Male,Adult,,Yes,Yes,Active,No,2001
357,Female,Subadult,None,Yes,No,Dead,No,2001
358,Female,Adult,1 COY,Yes,No,Removed,No,2001
359,Male,Adult,,Yes,Yes,Active,No,2001
360,Female,Adult,None,Yes,Yes,Active,No,2001
361,Male,Subadult,,Yes,No,Missing,No,2001
364,Female,Adult,Unknown,Yes,No,Missing,No,2001
365,Female,Adult,Unknown,Yes,Yes,Active,No,2001
366,Female,Adult,3 COY,Yes,No,Missing,No,2001
367,Female,Adult,None,Yes,Yes,Active,No,2001
368,Male,Subadult,,Yes,No,Dead,No,2001
369,Male,Adult,,Yes,No,Missing,Yes,2001
370,Female,Adult,None,Yes,Yes,Active,No,2001
372,Male,Subadult,,Yes,Yes,Active,No,2001
373,Male,Subadult,,Yes,Yes,Active,No,2001
374,Male,Adult,,Yes,No,Missing,No,2001
375,Male,Adult,,Yes,No,Cast,No,2001
376,Male,Adult,,Yes,No,Dead,No,2001
377,Male,Adult,,No,No,Cast,No,2001
378,Male,Adult,,No,No,Removed,Yes,2001
379,Male,Subadult,,No,No,Missing,No,2001
380,Male,Adult,,No,Yes,Active,Yes,2001
381,Male,Subadult,,No,Yes,Active,No,2001
382,Male,Subadult,,No,No,Removed,No,2001
383,Female,Subadult,None,No,Yes,Active,No,2001
384,Female,Adult,None,No,Yes,Active,No,2001
385,Male,Subadult,,No,No,Removed,Yes,2001
386,Female,Adult,3 COY,No,Yes,Active,No,2001
387,Male,Adult,,No,Yes,Active,No,2001
388,Male,Adult,,No,Yes,Active,No,2001
389,Male,Adult,,No,Yes,Active,No,2001
390,Male,Adult,,No,Yes,Active,No,2001
391,Male,Subadult,,No,No,Removed,Yes,2001
392,Male,Subadult,,No,No,Missing,Yes,2001
393,Male,Adult,,No,Yes,Active,No,2001
394,Male,Adult,,No,Yes,Active,Yes,2001
395,Female,Subadult,None,No,Yes,Active,No,2001
396,Male,Subadult,,No,Yes,Active,Yes,2001
397,Male,Adult,,No,Yes,Active,No,2001
398,Male,Adult,,No,Yes,Active,No,2001
399,Female,Adult,None,No,Yes,Active,No,2001
400,Male,Adult,,No,Yes,Active,No,2001
401,Male,Adult,,No,Yes,Active,No,2001
402,Female,Subadult,None,No,Yes,Active,No,2001
403,Female,Adult,2 COY,No,Yes,Active,Yes,2001
80,Male,Adult,,No,No,Cast,No,2000
125,Female,Adult,No young,No,Yes,Active,No,2000
128,Female,Adult,No young,Yes,Yes,Active,No,2000
135,Female,Adult,1 COY (371),No,Yes,Active,Yes,2000
166,Female,Adult,No young,No,Yes,Active,No,2000
179,Female,Adult,Unknown (not observed),No,Yes,Active,No,2000
185,Male,Adult,,Yes,No,Missing,No,2000
196,Female,Adult,No young,No,Yes,Active,No,2000
201,Male,Adult,,No,Yes,Active,No,2000
211,Male,Adult,,No,Yes,Active,No,2000
212,Male,Adult,,Yes,No,Removed,No,2000
213,Female,Adult,"3 coy, lost 1",No,Yes,Active,No,2000
224,Male,Adult,,Yes,No,Cast,No,2000
234,Female,Adult,2 COY,No,Yes,Active,Yes,2000
267,Female,Adult,No young,No,Yes,Active,No,2000
270,Female,Adult,2 2-year-olds,Yes,Yes,Active,No,2000
281,Male,Adult,,No,Yes,Active,No,2000
287,Male,Adult,,Yes,Yes,Active,No,2000
289,Female,Adult,2 COY,Yes,No,Battery failure,No,2000
290,Male,Adult,,No,Yes,Active,No,2000
291,Male,Adult,,Yes,Yes,Active,No,2000
292,Male,Adult,,Yes,Yes,Active,No,2000
295,Female,Adult,2 COY,Yes,Yes,Active,No,2000
296,Female,Adult,Unknown (not observed),Yes,No,Cast,No,2000
298,Female,Adult,2 yearlings,Yes,No,Battery failure,No,2000
303,Female,Adult,No young,No,Yes,Active,No,2000
305,Female,Subadult,No young,No,Yes,Active,No,2000
308,Female,Adult,"1 yearling, lost",Yes,Yes,Active,No,2000
309,Male,Adult,,Yes,No,Battery failure,No,2000
312,Male,Subadult,,Yes,No,Dead,No,2000
313,Male,Adult,,Yes,Yes,Active,No,2000
315,Female,Subadult,No young,Yes,No,Battery failure,No,2000
316,Female,Adult,2 yearlings/separated bred,Yes,No,Dead,No,2000
317,Male,Adult,,No,No,Dead,No,2000
320,Male,Adult,,No,Yes,Active,No,2000
321,Female,Adult,2 COY,No,Yes,Active,No,2000
322,Female,Subadult,Unknown (not observed),Yes,No,Cast,No,2000
325,Female,Adult,2 COY,Yes,Yes,Active,No,2000
327,Female,Adult,"2 coy, lost 1",Yes,Yes,Active,No,2000
328,Male,Adult,,Yes,No,Missing,No,2000
329,Male,Adult,,No,Yes,Active,No,2000
330,Male,Adult,,No,No,Cast,No,2000
333,Male,Subadult,,Yes,No,Cast,No,2000
334,Female,Subadult,No young,Yes,Yes,Active,No,2000
336,Male,Adult,,Yes,No,Unresolvedb,No,2000
338,Male,Adult,,No,Yes,Active,No,2000
339,Male,Adult,,Yes,Yes,Active,No,2000
340,Male,Subadult,,Yes,Yes,Active,No,2000
341,Male,Adult,,No,No,Cast,No,2000
342,Female,Adult,2 COY,No,Yes,Active,No,2000
343,Male,Subadult,,No,No,Missing,No,2000
344,Male,Subadult,,Yes,No,Cast,No,2000
345,Male,Adult,,Yes,No,Cast,No,2000
346,Female,Adult,"2 coy, lost both",Yes,Yes,Active,No,2000
347,Male,Adult,,Yes,No,Cast,No,2000
348,Male,Adult,,Yes,Yes,Active,No,2000
349,Female,Adult,No young,Yes,Yes,Active,No,2000
350,Female,Subadult,No young,No,Yes,Active,No,2000
351,Female,Adult,No young,No,Yes,Active,No,2000
352,Male,Subadult,,No,Yes,Active,No,2000
353,Male,Subadult,,No,No,Removed,Yes,2000
354,Male,Adult,,No,Yes,Active,No,2000
355,Male,Subadult,,No,Yes,Active,No,2000
356,Male,Adult,,No,Yes,Active,No,2000
357,Female,Subadult,No young,No,Yes,Active,No,2000
358,Female,Subadult,No young,No,Yes,Active,No,2000
359,Male,Adult,,No,Yes,Active,No,2000
360,Female,Subadult,No young,No,Yes,Active,No,2000
361,Male,Subadult,,No,Yes,Active,Yes,2000
362,Male,Subadult,,No,Yes,Active,Yes,2000
363,Male,Subadult,,No,Yes,Active,No,2000
364,Female,Subadult,Noyoung,No,Yes,Active,No,2000
365,Female,Adult,2 COY,No,Yes,Active,No,2000
366,Female,Adult,No young,No,Yes,Active,No,2000
367,Female,Adult,No young,No,Yes,Active,No,2000
368,Male,Subadult,,No,Yes,Active,No,2000
369,Male,Adult,,No,No,Missing,No,2000
370,Female,Adult,No young,No,Yes,Active,No,2000
371,Female,Subadult,No young,No,Yes,Active,Yes,2000
372,Male,Subadult,,No,Yes,Active,Yes,2000
373,Male,Subadult,,No,Yes,Active,No,2000
374,Male,Subadult,,No,Yes,Active,Yes,2000
375,Male,Subadult,,No,Yes,Active,Yes,2000
376,Male,Subadult,,No,Yes,Active,Yes,2000
103,Male,Adult,,Yes,No,Unresolveda,No,1999
128,Female,Adult,1 COY,Yes,Yes,Active,No,1999
179,Female,Adult,3 COY,No,No,Cast,No,1999
185,Male,Adult,,No,Yes,Active,Yes,1999
211,Male,Adult,,Yes,No,Cast,No,1999
212,Male,Adult,,Yes,Yes,Active,No,1999
213,Female,Adult,None,Yes,No,Cast,No,1999
214,Female,Adult,None,Yes,No,Cast,No,1999
219,Male,Adult,,No,No,Cast,No,1999
224,Male,Adult,,No,Yes,Active,No,1999
251,Male,Adult,,Yes,No,Cast,No,1999
264,Female,Adult,"2 COY, lost both May",Yes,Yes,Active,No,1999
270,Female,Adult,2 yearlings,No,Yes,Active,Yes,1999
278,Male,Adult,,Yes,No,Cast,No,1999
287,Male,Adult,,No,Yes,Active,No,1999
289,Female,Adult,None,Yes,Yes,Active,No,1999
290,Male,Adult,,Yes,No,Cast,No,1999
291,Male,Adult,,Yes,Yes,Active,No,1999
292,Male,Adult,,Yes,Yes,Active,No,1999
295,Female,Adult,"2 COY, lost both btwn 6-10/99",Yes,Yes,Active,No,1999
296,Female,Adult,1 COY,Yes,Yes,Active,No,1999
298,Female,Adult,2 COY,Yes,Yes,Active,No,1999
299,Male,Adult,,Yes,No,Cast,No,1999
304,Male,Subadult,,Yes,No,Cast,No,1999
308,Female,Adult,1 COY,Yes,Yes,Active,No,1999
309,Male,Adult,,Yes,Yes,Active,No,1999
310,Male,Adult,,Yes,No,Cast,No,1999
311,Female,Adult,2 yearlings,Yes,No,Cast,No,1999
312,Male,Subadult,,No,Yes,Active,Yes,1999
313,Male,Subadult,,Yes,Yes,Active,No,1999
314,Male,Adult,,Yes,No,Cast,No,1999
315,Female,Subadult,None,Yes,Yes,Active,No,1999
316,Female,Adult,2 COY,Yes,Yes,Active,No,1999
317,Male,Adult,,Yes,No,Cast,No,1999
319,Male,Subadult,,Yes,No,Cast,No,1999
320,Male,Adult,,Yes,No,Missing,No,1999
321,Female,Adult,None,Yes,No,Cast,No,1999
322,Female,Subadult,None,Yes,Yes,Active,No,1999
323,Male,Subadult,,Yes,No,Battery failure,No,1999
324,Male,Subadult,,Yes,No,Dead,No,1999
325,Female,Subadult,None,Yes,Yes,Active,Yes,1999
326,Male,Subadult,,No,No,Dead,Yes,1999
327,Female,Adult,None,No,Yes,Active,Yes,1999
328,Male,Adult,,No,Yes,Active,No,1999
329,Male,Adult,,No,No,Cast,No,1999
330,Male,Adult,,No,No,Cast,No,1999
331,Female,Subadult,None,No,No,Cast,No,1999
332,Female,Adult,2 yearlings,No,No,Unresolved,No,1999
333,Male,Subadult,,No,Yes,Active,No,1999
334,Female,Subadult,None,No,Yes,Active,Yes,1999
335,Male,Adult,,No,Yes,Active,No,1999
336,Male,Adult,,No,Yes,Active,No,1999
337,Female,Subadult,None,No,No,Cast,No,1999
338,Male,Subadult,,No,No,Cast,No,1999
339,Male,Adult,,No,Yes,Active,Yes,1999
340,Male,Subadult,,No,Yes,Active,No,1999
341,Male,Adult,,No,No,Cast,No,1999
342,Female,Adult,None,No,Yes,Active,No,1999
343,Male,Subadult,,No,No,Cast,No,1999
344,Male,Subadult,,No,Yes,Active,No,1999
345,Male,Adult,,No,Yes,Active,Yes,1999
346,Female,Subadult,None,No,Yes,Active,No,1999
347,Male,Subadult,,No,Yes,Active,Yes,1999
348,Male,Adult,,No,Yes,Active,Yes,1999
349,Female,Adult,None,No,Yes,Active,No,1999
103,Male,Adult,,No,Yes,active,,1998
128,Female,Adult,"unknown, but",No,Yes,active,,1998
179,Female,Adult,lactating unknown,Yes,No,cast collar,,1998
205,Female,Adult,"2, 2-year-olds weaned",Yes,No,battery failed,,1998
206,Male,Adult,,Yes,No,dead (old age),,1998
211,Male,Adult,,Yes,Yes,active,,1998
212,Male,Adult,,Yes,?,missing,,1998
213,Female,Adult,none,No,Yes,active,,1998
214,Female,Adult,none,Yes,Yes,active,,1998
219,Male,Adult,,Yes,No,cast collar,,1998
239,Male,Adult,,Yes,No,collar on mortality,,1998
251,Male,Adult,,Yes,Yes,active,,1998
260,Male,Adult,,No,Yes,active,,1998
264,Female,Adult,none,Yes,Yes,active,,1998
267,Female,Adult,unknown,Yes,No,cast collar,,1998
271,Female,Adult,none,Yes,No,collar on mortality,,1998
276,Female,Adult,none,Yes,Yes,active,,1998
278,Male,Adult,,Yes,Yes,active,,1998
279,Female,Adult,1 cub of year,Yes,Yes,active,,1998
281,Male,Adult,,Yes,Yes,active,,1998
282,Male,Adult,,Yes,No,cast collar,,1998
284,Female,Adult,2 cubs of year,Yes,Yes,active,,1998
286,Male,Adult,,Yes,No,dead (mgt removal),,1998
289,Female,Subadult,,Yes,Yes,active,,1998
290,Male,Subadult,,Yes,Yes,active,,1998
291,Male,Subadult,,Yes,Yes,active,,1998
292,Male,Adult,,Yes,?,missing,,1998
294,Female,Adult,unknown,Yes,No,battery failed,,1998
295,Female,Adult,none,Yes,Yes,active,,1998
296,Female,Subadult,,Yes,Yes,active,,1998
298,Female,Adult,none,Yes,Yes,active,,1998
299,Male,Adult,,Yes,Yes,active,,1998
300,Female,Subadult,,Yes,No,battery failed,,1998
301,Male,Subadult,,Yes,No,dead (mgt removal),,1998
302,Male,Adult,,No,?,missing,,1998
303,Female,Adult,1 yearling,No,Yes,active,,1998
304,Male,Subadult,,No,Yes,active,,1998
305,Female,Yearling,,No,No,cast collar,,1998
306,Male,Adult,,No,No,cast collar,,1998
307,Male,Subadult,,No,No,collar on mortality,,1998
308,Female,Adult,1 yearling,No,Yes,active,,1998
309,Male,Adult,,No,Yes,active,,1998
310,Male,Adult,,No,Yes,active,,1998
311,Female,Adult,3 cubs of year,No,Yes,active,,1998
312,Male,Yearling,,No,No,cast collar,,1998
313,Male,Subadult,,No,Yes,active,,1998
314,Male,Adult,,No,Yes,active,,1998
315,Female,Subadult,,No,Yes,active,,1998
316,Female,Subadult,,No,Yes,active,,1998
317,Male,Adult,,No,Yes,active,,1998
318,Male,Adult,,No,No,cast collar,,1998
319,Male,Subadult,,No,?,missing (dispersing),Yes (2),1998
320,Male,Subadult,,No,Yes,active,,1998
321,Female,Adult,none,No,Yes,active,,1998
322,Female,Subadult,,No,Yes,active,Yes,1998
323,Male,Subadult,,No,Yes,active,,1998
324,Male,Subadult,,No,Yes,active,Yes,1998
325,Female,Subadult,,No,Yes,active,Yes,1998